N20140422Q39F154V2	14:20:28	-23:56:54	40	13.333	2014-04-23T15:20:40
N20140422Q39F155V2	14:27:28	-24:54:06	40	13.333	2014-04-23T15:21:50
N20140422Q39F156V2	14:27:25	-22:57:42	40	13.333	2014-04-23T15:23:00
N20140422Q39F153V3	14:20:31	-21:58:30	40	13.333	2014-04-23T15:24:10
N20140422Q39F154V3	14:20:28	-23:56:54	40	13.333	2014-04-23T15:25:20
N20140422Q39F155V3	14:27:28	-24:54:06	40	13.333	2014-04-23T15:26:30
N20140422Q39F156V3	14:27:25	-22:57:42	40	13.333	2014-04-23T15:27:40
N20140422Q39F153V4	14:20:31	-21:58:30	40	13.333	2014-04-23T15:28:50
N20140422Q39F154V4	14:20:28	-23:56:54	40	13.333	2014-04-23T15:30:00
N20140422Q39F155V4	14:27:28	-24:54:06	40	13.333	2014-04-23T15:31:10
N20140422Q39F156V4	14:27:25	-22:57:42	40	13.333	2014-04-23T15:32:20
N20140422Q39F153V5	14:20:31	-21:58:30	40	13.333	2014-04-23T15:33:30
N20140422Q39F154V5	14:20:28	-23:56:54	40	13.333	2014-04-23T15:34:40
N20140422Q39F155V5	14:27:28	-24:54:06	40	13.333	2014-04-23T15:35:50
N20140422Q39F156V5	14:27:25	-22:57:42	40	13.333	2014-04-23T15:37:00
SLEW_QX_QY	14:27:25	-22:57:42	60	13.333	2014-04-23T15:38:30
N20140422Q40F157V1	14:20:37	-25:39:42	40	13.333	2014-04-23T15:39:40
N20140422Q40F158V1	14:20:33	-27:36:06	40	13.333	2014-04-23T15:40:50
N20140422Q40F159V1	14:27:47	-28:35:18	40	13.333	2014-04-23T15:42:00
N20140422Q40F160V1	14:27:43	-26:38:54	40	13.333	2014-04-23T15:43:10
N20140422Q40F157V2	14:20:37	-25:39:42	40	13.333	2014-04-23T15:44:20
N20140422Q40F158V2	14:20:33	-27:36:06	40	13.333	2014-04-23T15:45:30
N20140422Q40F159V2	14:27:47	-28:35:18	40	13.333	2014-04-23T15:46:40
N20140422Q40F160V2	14:27:43	-26:38:54	40	13.333	2014-04-23T15:47:50
N20140422Q40F157V3	14:20:37	-25:39:42	40	13.333	2014-04-23T15:49:00
N20140422Q40F158V3	14:20:33	-27:36:06	40	13.333	2014-04-23T15:50:10
N20140422Q40F159V3	14:27:47	-28:35:18	40	13.333	2014-04-23T15:51:20
N20140422Q40F160V3	14:27:43	-26:38:54	40	13.333	2014-04-23T15:52:30
N20140422Q40F157V4	14:20:37	-25:39:42	40	13.333	2014-04-23T15:53:40
N20140422Q40F158V4	14:20:33	-27:36:06	40	13.333	2014-04-23T15:54:50
N20140422Q40F159V4	14:27:47	-28:35:18	40	13.333	2014-04-23T15:56:00
N20140422Q40F160V4	14:27:43	-26:38:54	40	13.333	2014-04-23T15:57:10
N20140422Q40F157V5	14:20:37	-25:39:42	40	13.333	2014-04-23T15:58:20
N20140422Q40F158V5	14:20:33	-27:36:06	40	13.333	2014-04-23T15:59:30
N20140422Q40F159V5	14:27:47	-28:35:18	40	13.333	2014-04-23T16:00:40
N20140422Q40F160V5	14:27:43	-26:38:54	40	13.333	2014-04-23T16:01:50
SLEW_QX_QY	14:27:43	-26:38:54	60	13.333	2014-04-23T16:03:20
N20140422Q41F161V1	14:32:29	00:07:18	40	13.333	2014-04-23T16:04:30
N20140422Q41F162V1	14:32:29	-01:51:42	40	13.333	2014-04-23T16:05:40
N20140422Q41F163V1	14:38:52	-02:50:54	40	13.333	2014-04-23T16:06:50
N20140422Q41F164V1	14:38:52	-00:52:30	40	13.333	2014-04-23T16:08:00
N20140422Q41F161V2	14:32:29	00:07:18	40	13.333	2014-04-23T16:09:10
N20140422Q41F162V2	14:32:29	-01:51:42	40	13.333	2014-04-23T16:10:20
N20140422Q41F163V2	14:38:52	-02:50:54	40	13.333	2014-04-23T16:11:30
N20140422Q41F164V2	14:38:52	-00:52:30	40	13.333	2014-04-23T16:12:40
N20140422Q41F161V3	14:32:29	00:07:18	40	13.333	2014-04-23T16:13:50
